Date,Value,Ticker
05-08-19,1464.5999755859375,GC=F
06-08-19,1472.4000244140625,GC=F
07-08-19,1507.300048828125,GC=F
08-08-19,1497.699951171875,GC=F
09-08-19,1496.5999755859375,GC=F
12-08-19,1505.300048828125,GC=F
13-08-19,1502.199951171875,GC=F
14-08-19,1515.9000244140625,GC=F
15-08-19,1519.5999755859375,GC=F
16-08-19,1512.5,GC=F
19-08-19,1500.4000244140625,GC=F
20-08-19,1504.5999755859375,GC=F
21-08-19,1504.5999755859375,GC=F
22-08-19,1497.300048828125,GC=F
23-08-19,1526.5999755859375,GC=F
26-08-19,1526.300048828125,GC=F
27-08-19,1541.0,GC=F
28-08-19,1537.800048828125,GC=F
29-08-19,1526.5,GC=F
30-08-19,1519.0999755859375,GC=F
03-09-19,1545.9000244140625,GC=F
04-09-19,1550.300048828125,GC=F
05-09-19,1515.4000244140625,GC=F
06-09-19,1506.199951171875,GC=F
09-09-19,1502.199951171875,GC=F
10-09-19,1490.300048828125,GC=F
11-09-19,1494.4000244140625,GC=F
12-09-19,1498.699951171875,GC=F
13-09-19,1490.9000244140625,GC=F
16-09-19,1503.0999755859375,GC=F
17-09-19,1505.0999755859375,GC=F
18-09-19,1507.5,GC=F
19-09-19,1498.4000244140625,GC=F
20-09-19,1507.300048828125,GC=F
23-09-19,1523.699951171875,GC=F
24-09-19,1532.0999755859375,GC=F
25-09-19,1504.5999755859375,GC=F
26-09-19,1507.5,GC=F
27-09-19,1499.0999755859375,GC=F
30-09-19,1465.699951171875,GC=F
01-10-19,1482.0,GC=F
02-10-19,1501.0,GC=F
03-10-19,1507.0999755859375,GC=F
04-10-19,1506.199951171875,GC=F
07-10-19,1497.699951171875,GC=F
08-10-19,1497.199951171875,GC=F
09-10-19,1506.0999755859375,GC=F
10-10-19,1494.800048828125,GC=F
11-10-19,1482.699951171875,GC=F
14-10-19,1491.699951171875,GC=F
15-10-19,1477.5999755859375,GC=F
16-10-19,1488.0,GC=F
17-10-19,1492.300048828125,GC=F
18-10-19,1488.199951171875,GC=F
21-10-19,1482.4000244140625,GC=F
22-10-19,1481.699951171875,GC=F
23-10-19,1489.9000244140625,GC=F
24-10-19,1498.9000244140625,GC=F
25-10-19,1499.5,GC=F
28-10-19,1490.0,GC=F
29-10-19,1487.0,GC=F
30-10-19,1493.199951171875,GC=F
31-10-19,1511.4000244140625,GC=F
01-11-19,1508.0,GC=F
04-11-19,1508.0,GC=F
05-11-19,1480.800048828125,GC=F
06-11-19,1490.199951171875,GC=F
07-11-19,1464.199951171875,GC=F
08-11-19,1461.300048828125,GC=F
11-11-19,1455.5,GC=F
12-11-19,1452.0999755859375,GC=F
13-11-19,1461.699951171875,GC=F
